rock_name,long,lat,SiO2n,TiO2n,Al2O3n,FeO*n,MnOn,MgOn,CaOn,Na2On,K2On,P2O5n
Andesite,-122.4390,45.9530,57.78,1.61,16.69,8.52,0.16,2.92,6.84,4.12,1.05,0.32
Basaltic andesite,-122.4430,45.8850,55.82,1.13,19.87,6.77,0.16,2.70,9.04,3.72,0.61,0.18
Basaltic andesite,-122.4960,45.9180,56.37,1.82,15.80,9.94,0.18,3.47,7.68,3.77,0.70,0.28
Basaltic andesite,-122.4400,45.9300,52.65,1.63,17.11,9.23,0.16,4.73,9.95,3.01,1.24,0.30
Microdiorite,-122.4890,45.9800,54.06,1.61,17.23,8.31,0.15,4.55,9.29,3.46,1.05,0.29
Basaltic andesite,-122.4790,45.8840,55.96,1.13,19.64,7.01,0.18,2.69,8.88,3.70,0.63,0.18
Basaltic andesite dike,-122.4190,45.9880,55.05,2.02,15.48,9.79,0.17,4.35,8.48,3.68,0.59,0.38
Basaltic andesite,-122.4620,45.9430,55.97,1.93,15.24,10.45,0.19,3.57,7.61,3.49,1.22,0.34
Basaltic andesite,-122.4010,45.9740,53.00,1.00,20.73,7.20,0.16,3.65,10.29,3.25,0.58,0.14
Basaltic andesite,-122.4050,45.9020,55.28,1.21,19.22,7.92,0.16,3.12,8.85,3.46,0.58,0.19
Andesite,-122.4390,45.9630,59.47,1.41,16.03,8.25,0.17,2.90,6.30,4.23,1.05,0.18
Basaltic andesite,-122.4960,45.8940,54.54,0.95,17.90,8.15,0.15,4.95,9.51,2.99,0.72,0.14
Basaltic andesite,-122.4220,45.9380,55.86,1.61,16.20,9.51,0.16,3.99,7.71,3.81,0.89,0.26
Andesite,-122.4500,45.9750,61.66,1.57,15.34,6.87,0.14,2.62,6.49,4.21,0.72,0.37
Basaltic andesite,-122.4100,45.8770,54.18,1.11,18.62,7.78,0.19,4.59,9.68,3.19,0.53,0.15
Basaltic andesite,-122.3900,45.8920,52.80,1.39,17.99,9.75,0.18,4.45,9.69,3.08,0.48,0.19
Basaltic andesite,-122.3780,45.9330,55.01,1.32,18.00,8.82,0.16,3.48,8.86,3.30,0.84,0.21
Andesite,-122.4490,45.9630,57.45,1.15,16.91,7.58,0.14,4.29,7.53,3.62,1.15,0.20
Andesite,-122.3890,45.9170,57.23,1.29,18.44,7.50,0.16,2.65,7.65,4.07,0.78,0.23
Andesite,-122.4150,45.9090,61.22,1.37,15.82,7.75,0.17,2.19,5.57,3.98,1.63,0.30
Microdiorite,-122.4280,45.9060,58.75,0.39,20.28,4.01,0.09,3.67,8.69,3.10,0.91,0.10
Basaltic andesite,-122.4960,45.9280,55.92,1.77,15.92,9.78,0.18,3.83,7.76,3.68,0.90,0.26
